name,sequence,file,vol_min,vol_max,vol_mod,pitch_min,pitch_max,dist_min,dist_max,channel,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,volumefalloffcurve,startdelay,speakermap,reverb,lfe percentage,center percentage,platform,envelop_min,envelop_max,envelop percentage,conversion

weap_aa12_fire_npc,,weps/aa12/weap_aa12_slmn_1.wav,0.93,0.98,max,1,1.1,35,13780,weapon,,,,0.7,all_mp,,,,weapon4
weap_aa12_fire_npc,,weps/aa12/weap_aa12_slmn_1.wav,0.93,0.98,max,1,1.1,35,10600,weapon,,,,0.7,!ac130 all_mp,,,,weapon4
weap_aa12_fire_plr,,weps/aa12/weap_aa12_slst_1.wav,0.91,0.94,wpnplyr,1,1.1,500000,,local,,,,0.85,,,,,weapon2,,,,

weap_shotgun_silencer_shot_npc,,weps/mw3_shotguns/weap_shotgunsilenced_slmn_17.wav,0.80,0.85,wpnai,0.85,0.95,35,2000,weapon,,,,0.7,all_mp,,,,weapon4,
weap_shotgun_silencer_shot_npc,,weps/mw3_shotguns/weap_shotgunsilenced_slmn_17.wav,0.80,0.85,wpnai,0.85,0.95,35,8400,weapon,,,,0.7,!ac130 all_mp,,,,weapon4,
weap_shotgun_silencer_shot_plr,,weps/mw3_shotguns/weap_shotgunsilenced_slst_17.wav,0.80,0.85,wpnplyr,0.85,0.95,500000,,local,,,,0.85,,,,,weapon2,,,,


weap_aa12_lift_plr,,weps/aa12/wpfoly_aa12_reload_lift_v1.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
weap_aa12_clipout_plr,,weps/aa12/wpfoly_aa12_reload_clipout_v1.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
weap_aa12_clipin_plr,,weps/aa12/wpfoly_aa12_reload_clipin_v1.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
weap_aa12_chamber_plr,,weps/aa12/wpfoly_aa12_reload_chamber_v1.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
weap_aa12_chamber_back_plr,,weps/aa12/wpfoly_aa12_reload_chamber_back_v1.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,

